DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
12X196,P.S. 196,2,3,3,3,3,3,3,3,3,3,3,0.332,0.203,0.059000000000000004,0.948,0.22399999999999998,0.879,0.013999999999999999,0.151,0.8,0.009000000000000001,15.0,0.562,0.93,0.25,0.978,2.37,2.94,3.11,2.4,2.47,Bronx,12,45.75893021,29.017856600000002,20.3125,4.910714149,25.2232151,0.4890829694323144
12X211,P.S. 211,3,2,3,2,3,2,4,3,2,3,3,0.213,0.22,0.039,0.9520000000000001,0.195,0.9,0.002,0.135,0.852,0.005,3.9,0.653,0.9420000000000001,0.18,0.938,3.78,3.64,3.71,3.77,2.32,Bronx,12,48.27586365,29.59770203,15.51724148,6.609195232,22.12643623,0.6115992970123023
12X212,P.S. 212,1,2,2,2,2,2,2,3,3,3,2,0.226,0.157,0.044000000000000004,0.938,0.354,0.867,0.005,0.34600000000000003,0.631,0.006999999999999999,0.9,0.879,0.887,0.431,0.958,3.78,3.64,3.71,3.77,2.61,Bronx,12,45.30612183,35.91836548,14.69387722,4.081632614,18.77551079,0.601965601965602
12X214,P.S. 214,2,4,3,3,4,4,4,4,3,4,3,0.127,0.20199999999999999,0.067,0.915,0.18899999999999997,0.838,0.027000000000000003,0.248,0.695,0.012,9.9,0.716,0.8959999999999999,0.39899999999999997,0.9520000000000001,3.92,3.77,3.67,2.62,3.36,Bronx,12,45.94223022,30.26134872,16.64374161,7.152682304,23.79642296,0.7169625246548323
12X217,School of Performing Arts,2,3,3,2,3,4,3,3,3,3,3,0.183,0.327,0.147,0.9490000000000001,0.32299999999999995,0.897,0.02,0.313,0.63,0.013000000000000001,2.2,0.654,0.9009999999999999,0.371,0.963,3.78,3.64,3.71,3.77,2.15,Bronx,12,42.74193573,37.09677505,16.53225899,3.629032373,20.16129112,0.8266666666666667
12X242,Mott Hall V,3,4,4,3,4,4,4,4,4,4,4,0.185,0.309,0.087,0.922,0.154,0.846,0.03,0.16399999999999998,0.768,0.013000000000000001,13.0,0.7040000000000001,0.9309999999999999,0.23,0.9670000000000001,4.01,3.03,4.27,3.3,3.29,Bronx,12,39.39393997,29.54545403,20.45454597,10.60606098,31.060606,0.8859060402684564
12X267,Bronx Latin,3,3,3,4,4,4,4,4,4,4,4,0.184,0.305,0.11699999999999999,0.904,0.184,0.833,0.004,0.188,0.77,0.028999999999999998,5.8,0.5710000000000001,0.8959999999999999,0.39899999999999997,0.968,3.61,2.34,3.89,2.93,2.57,Bronx,12,36.07305908,37.44292068,15.98173523,10.5022831,26.48401833,0.9163179916317992
12X271,East Bronx Academy for the Future,3,3,3,3,4,4,4,4,4,4,4,0.142,0.239,0.09,0.935,0.24600000000000002,0.862,0.026000000000000002,0.239,0.705,0.006999999999999999,14.0,0.705,0.871,0.462,0.9540000000000001,3.72,4.15,3.43,2.98,2.83,Bronx,12,38.72340393,37.87234116,16.59574509,6.80851078,23.40425491,0.8768656716417911
12X273,Frederick Douglass Academy V. Middle School,2,3,2,2,3,2,3,3,3,3,3,0.11199999999999999,0.254,0.107,0.92,0.24100000000000002,0.848,0.013000000000000001,0.371,0.585,0.013000000000000001,1.2,0.385,0.889,0.41100000000000003,0.966,1.91,2.8,2.39,2.45,2.79,Bronx,12,30.92783546,38.65979385,22.68041229,7.731958866,30.41237068,0.8660714285714286
12X286,Fannie Lou Hamer Middle School,2,4,2,3,3,4,2,4,3,3,3,0.192,0.239,0.10099999999999999,0.9279999999999999,0.319,0.8370000000000001,0.004,0.228,0.743,0.025,0.9,0.522,0.9259999999999999,0.255,0.963,3.78,3.64,3.71,3.77,3.33,Bronx,12,45.41984558,33.58778763,14.5038166,6.488549709,20.99236679,0.9492753623188406
