DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
19K661,Vista Academy,3,3,3,3,4,3,4,4,3,3,3,0.095,0.19699999999999998,0.077,0.838,0.16899999999999998,0.763,0.051,0.239,0.652,0.023,1.0,0.429,0.9259999999999999,0.249,0.976,3.73,3.95,3.62,3.59,3.71,Brooklyn,19,36.320755,29.95282936,22.40566063,11.320755,33.72641373,0.9837587006960556
19K662,Liberty Avenue Middle School,3,4,3,4,4,3,4,4,4,4,4,0.17600000000000002,0.215,0.002,0.8959999999999999,0.225,0.809,0.047,0.195,0.715,0.017,4.9,0.452,0.9059999999999999,0.34600000000000003,0.9640000000000001,3.56,3.77,4.44,3.64,4.11,Brooklyn,19,43.79232407,29.79684067,19.18735886,7.22347641,26.41083527,0.9506437768240343
19K663,School of the Future Brooklyn,2,2,2,2,2,2,3,3,2,3,2,0.10400000000000001,0.27899999999999997,0.015,0.946,0.363,0.8759999999999999,0.015,0.657,0.303,0.015,5.9,0.667,0.899,0.39899999999999997,0.9740000000000001,2.37,2.57,1.97,3.64,3.18,Brooklyn,19,75.41899109,20.67039108,3.351955414,0.5586591959,3.910614491,0.8905472636815921
19K677,East New York Elementary School of Excellence,2,3,2,3,3,3,3,3,3,3,3,0.20199999999999999,0.214,0.094,0.9209999999999999,0.253,0.862,0.044000000000000004,0.483,0.439,0.012,2.9,0.733,0.8959999999999999,0.43700000000000006,0.976,3.78,3.64,3.71,3.77,3.78,Brooklyn,19,57.8059082,23.62869263,14.76793289,3.797468424,18.56540108,0.47305389221556887
19K678,East New York Middle School of Excellence,3,3,2,3,3,3,4,4,4,4,4,0.107,0.27699999999999997,0.036000000000000004,0.899,0.20600000000000002,0.838,0.027999999999999997,0.5770000000000001,0.375,0.02,5.9,0.909,0.91,0.382,0.945,3.56,3.77,3.15,4.49,4.21,Brooklyn,19,63.26530457,26.12244987,8.163265228,2.448979616,10.61224461,0.9683794466403162
19K760,Highland Park Community School,3,3,2,3,4,3,3,3,3,3,3,0.125,0.188,0.066,0.848,0.094,0.777,0.025,0.17600000000000002,0.762,0.009000000000000001,4.0,0.45799999999999996,0.907,0.327,0.963,3.42,3.54,3.03,3.38,3.81,Brooklyn,19,55.66342926,29.7734623,11.32686043,3.236245871,14.56310654,0.9686520376175548
20K030,P.S./I.S. 30 Mary White Ovington,3,4,3,4,4,4,4,4,4,4,4,0.22899999999999998,0.203,0.042,0.764,0.043,0.688,0.235,0.015,0.302,0.43799999999999994,7.6,0.629,0.958,0.096,0.9670000000000001,4.19,3.33,4.04,3.74,3.76,Brooklyn,20,21.85886383,24.09638596,23.75215149,30.29259872,54.04475021,0.6377607025246982
20K048,P.S. 048 Mapleton,3,3,2,3,4,4,4,4,4,4,4,0.306,0.21600000000000003,0.071,0.789,0.049,0.715,0.447,0.009000000000000001,0.285,0.243,17.4,0.733,0.94,0.19,0.9590000000000001,4.28,3.41,2.98,3.59,3.94,Brooklyn,20,23.2142849,22.857143399999998,24.2857151,29.642856600000002,53.92856979,0.48695652173913045
20K062,J.H.S. 062 Ditmas,4,3,3,3,4,3,4,4,3,3,3,0.215,0.18,0.046,0.8390000000000001,0.121,0.774,0.326,0.19699999999999998,0.331,0.139,11.8,0.86,0.9490000000000001,0.125,0.9640000000000001,3.49,3.79,3.59,2.87,3.8,Brooklyn,20,31.61478615,29.28015518,25.77820969,13.32684803,39.10505676,0.8538205980066446
20K069,P.S. 69 Vincent D. Grippo School,4,4,4,4,4,4,4,4,4,4,4,0.522,0.113,0.02,0.922,0.135,0.8740000000000001,0.922,0.003,0.034,0.039,11.9,0.902,0.977,0.047,0.971,4.57,4.07,4.79,3.98,4.41,Brooklyn,20,7.901234627,17.53086472,27.65432167,46.91358185,74.56790161,0.5159235668789809
