DBN,School Name,Enrollment,Supportive Environment Rating,Student Achievement Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District
21K225,P.S. K225 - The Eileen E. Zaglin,964,2,3,3,3,3,3,3,2,3,3,4,3,0.429,0.204,0.062,0.825,0.067,0.768,0.188,0.021,0.34,0.444,3.8,0.805,0.925,0.275,0.935,2.99,3.22,3.15,1.89,2.9,Brooklyn,21K
21K226,P.S. 226 Alfred De B.Mason,976,3,3,4,3,4,4,3,4,4,4,4,4,0.276,0.172,0.075,0.802,0.105,0.721,0.303,0.016,0.295,0.374,2.0,0.846,0.948,0.14800000000000002,0.963,3.68,3.89,4.32,3.64,3.88,Brooklyn,21K
21K228,I.S. 228 David A. Boody,1311,3,3,4,4,3,4,3,4,4,3,4,4,0.105,0.158,0.027000000000000003,0.705,0.037000000000000005,0.624,0.28800000000000003,0.052000000000000005,0.265,0.384,11.0,0.716,0.9490000000000001,0.158,0.9740000000000001,3.97,4.18,4.28,2.93,3.58,Brooklyn,21K
21K238,P.S. 238 Anne Sullivan,539,3,3,4,4,3,4,3,4,4,4,4,4,0.373,0.228,0.109,0.882,0.16699999999999998,0.831,0.20199999999999999,0.040999999999999995,0.51,0.237,12.8,0.8109999999999999,0.929,0.259,0.945,3.51,3.31,4.2,2.45,3.53,Brooklyn,21K
21K239,Mark Twain I.S. 239 for the Gifted & Talented,1322,3,4,4,3,3,4,4,4,4,4,4,4,0.011000000000000001,0.11900000000000001,0.019,0.355,0.015,0.242,0.278,0.069,0.06,0.516,6.8,0.904,0.9590000000000001,0.091,0.9570000000000001,4.5,3.77,4.07,3.49,3.77,Brooklyn,21K
21K253,P.S. 253,885,4,4,4,4,4,4,4,4,4,4,4,4,0.22399999999999998,0.158,0.035,0.898,0.086,0.8320000000000001,0.37200000000000005,0.002,0.366,0.24600000000000002,14.9,0.754,0.9390000000000001,0.2,0.975,4.89,4.76,4.96,4.19,4.63,Brooklyn,21K
21K281,I.S. 281 Joseph B Cavallaro,1334,3,4,3,3,3,3,4,4,4,3,4,3,0.175,0.17800000000000002,0.055,0.758,0.048,0.687,0.41100000000000003,0.064,0.242,0.27899999999999997,6.0,0.703,0.941,0.183,0.9570000000000001,4.07,3.55,3.21,2.0,2.92,Brooklyn,21K
21K288,P.S. 288 The Shirley Tanyhill,634,2,3,3,3,3,4,3,3,3,3,4,3,0.063,0.32,0.15,0.958,0.23,0.9259999999999999,0.017,0.588,0.32799999999999996,0.062,4.0,0.7240000000000001,0.8759999999999999,0.505,0.973,3.29,3.07,3.25,3.3,3.09,Brooklyn,21K
21K303,I.S. 303 Herbert S. Eisenberg,538,2,3,3,3,3,3,3,3,3,3,3,3,0.141,0.16,0.061,0.8190000000000001,0.1,0.7490000000000001,0.21600000000000003,0.10400000000000001,0.38299999999999995,0.29,6.6,0.677,0.924,0.27699999999999997,0.97,3.04,3.04,3.23,2.48,2.52,Brooklyn,21K
21K329,P.S. 329 Surfside,376,2,2,3,2,3,4,3,4,4,3,4,3,0.048,0.29,0.191,0.9279999999999999,0.19899999999999998,0.8909999999999999,0.066,0.5820000000000001,0.293,0.053,9.9,0.667,0.883,0.498,0.9640000000000001,3.57,3.17,2.61,3.47,3.14,Brooklyn,21K
